instance,solver,mode,partial_k,lookahead_depth,cost,high_expanded,high_generated,low_expanded,low_generated,cpu_time_or_status,cpu_time_raw,cpu_time,instance_short,instance_short_wide,cost_astar,low_expanded_astar,low_generated_astar,cpu_time_astar,cost_lookahead,low_expanded_lookahead,low_generated_lookahead,cpu_time_lookahead,cost_partial,low_expanded_partial,low_generated_partial,cpu_time_partial
instances\test_17.txt,CBS,lookahead,,4,39,1.0,1.0,46.0,174.0,0.031089,0.031089,0.031089,test_17.txt,test_17.txt,39,46.0,174.0,0.002748,39,46.0,174.0,0.031089,39,46.0,159.0,0.002096
instances\test_18.txt,CBS,astar,,,32,7.0,13.0,174.0,567.0,0.005987,0.005987,0.005987,test_18.txt,test_18.txt,32,174.0,567.0,0.005987,32,174.0,567.0,0.133398,32,175.0,504.0,0.005812
instances\test_18.txt,CBS,partial,3,,32,7.0,13.0,175.0,504.0,0.005812,0.005812,0.005812,test_18.txt,test_18.txt,32,174.0,567.0,0.005987,32,174.0,567.0,0.133398,32,175.0,504.0,0.005812
instances\test_18.txt,CBS,lookahead,,4,32,7.0,13.0,174.0,567.0,0.133398,0.133398,0.133398,test_18.txt,test_18.txt,32,174.0,567.0,0.005987,32,174.0,567.0,0.133398,32,175.0,504.0,0.005812
instances\test_19.txt,CBS,astar,,,47,6.0,11.0,311.0,892.0,0.008092,0.008092,0.008092,test_19.txt,test_19.txt,47,311.0,892.0,0.008092,47,311.0,892.0,0.175329,47,351.0,922.0,0.008398
instances\test_19.txt,CBS,partial,3,,47,6.0,11.0,351.0,922.0,0.008398,0.008398,0.008398,test_19.txt,test_19.txt,47,311.0,892.0,0.008092,47,311.0,892.0,0.175329,47,351.0,922.0,0.008398
instances\test_19.txt,CBS,lookahead,,4,47,6.0,11.0,311.0,892.0,0.175329,0.175329,0.175329,test_19.txt,test_19.txt,47,311.0,892.0,0.008092,47,311.0,892.0,0.175329,47,351.0,922.0,0.008398
instances\test_2.txt,CBS,astar,,,18,1.0,1.0,23.0,87.0,0.001998,0.001998,0.001998,test_2.txt,test_2.txt,18,23.0,87.0,0.001998,18,23.0,87.0,0.032213,18,23.0,74.0,0.002134
instances\test_2.txt,CBS,partial,3,,18,1.0,1.0,23.0,74.0,0.002134,0.002134,0.002134,test_2.txt,test_2.txt,18,23.0,87.0,0.001998,18,23.0,87.0,0.032213,18,23.0,74.0,0.002134
instances\test_2.txt,CBS,lookahead,,4,18,1.0,1.0,23.0,87.0,0.032213,0.032213,0.032213,test_2.txt,test_2.txt,18,23.0,87.0,0.001998,18,23.0,87.0,0.032213,18,23.0,74.0,0.002134
instances\test_20.txt,CBS,astar,,,28,2.0,3.0,52.0,193.0,0.002010,0.002010,0.00201,test_20.txt,test_20.txt,28,52.0,193.0,0.00201,28,52.0,193.0,0.037887,28,52.0,175.0,0.003494
instances\test_20.txt,CBS,partial,3,,28,2.0,3.0,52.0,175.0,0.003494,0.003494,0.003494,test_20.txt,test_20.txt,28,52.0,193.0,0.00201,28,52.0,193.0,0.037887,28,52.0,175.0,0.003494
instances\test_20.txt,CBS,lookahead,,4,28,2.0,3.0,52.0,193.0,0.037887,0.037887,0.037887,test_20.txt,test_20.txt,28,52.0,193.0,0.00201,28,52.0,193.0,0.037887,28,52.0,175.0,0.003494
instances\test_21.txt,CBS,astar,,,46,4.0,7.0,142.0,459.0,0.005389,0.005389,0.005389,test_21.txt,test_21.txt,46,142.0,459.0,0.005389,46,142.0,459.0,0.091524,46,153.0,442.0,0.005517
instances\test_21.txt,CBS,partial,3,,46,4.0,7.0,153.0,442.0,0.005517,0.005517,0.005517,test_21.txt,test_21.txt,46,142.0,459.0,0.005389,46,142.0,459.0,0.091524,46,153.0,442.0,0.005517
instances\test_21.txt,CBS,lookahead,,4,46,4.0,7.0,142.0,459.0,0.091524,0.091524,0.091524,test_21.txt,test_21.txt,46,142.0,459.0,0.005389,46,142.0,459.0,0.091524,46,153.0,442.0,0.005517
instances\test_22.txt,CBS,astar,,,51,8.0,15.0,186.0,698.0,0.006997,0.006997,0.006997,test_22.txt,test_22.txt,51,186.0,698.0,0.006997,51,186.0,698.0,0.145005,51,186.0,644.0,0.006999
instances\test_22.txt,CBS,partial,3,,51,8.0,15.0,186.0,644.0,0.006999,0.006999,0.006999,test_22.txt,test_22.txt,51,186.0,698.0,0.006997,51,186.0,698.0,0.145005,51,186.0,644.0,0.006999
instances\test_22.txt,CBS,lookahead,,4,51,8.0,15.0,186.0,698.0,0.145005,0.145005,0.145005,test_22.txt,test_22.txt,51,186.0,698.0,0.006997,51,186.0,698.0,0.145005,51,186.0,644.0,0.006999
instances\test_23.txt,CBS,astar,,,32,2.0,3.0,52.0,215.0,0.003004,0.003004,0.003004,test_23.txt,test_23.txt,32,52.0,215.0,0.003004,32,52.0,215.0,0.049268,32,52.0,178.0,0.002998
instances\test_23.txt,CBS,partial,3,,32,2.0,3.0,52.0,178.0,0.002998,0.002998,0.002998,test_23.txt,test_23.txt,32,52.0,215.0,0.003004,32,52.0,215.0,0.049268,32,52.0,178.0,0.002998
instances\test_23.txt,CBS,lookahead,,4,32,2.0,3.0,52.0,215.0,0.049268,0.049268,0.049268,test_23.txt,test_23.txt,32,52.0,215.0,0.003004,32,52.0,215.0,0.049268,32,52.0,178.0,0.002998
instances\test_24.txt,CBS,astar,,,47,13.0,25.0,214.0,828.0,0.010222,0.010222,0.010222,test_24.txt,test_24.txt,47,214.0,828.0,0.010222,47,214.0,828.0,0.171982,47,214.0,737.0,0.010497
instances\test_24.txt,CBS,partial,3,,47,13.0,25.0,214.0,737.0,0.010497,0.010497,0.010497,test_24.txt,test_24.txt,47,214.0,828.0,0.010222,47,214.0,828.0,0.171982,47,214.0,737.0,0.010497
instances\test_24.txt,CBS,lookahead,,4,47,13.0,25.0,214.0,828.0,0.171982,0.171982,0.171982,test_24.txt,test_24.txt,47,214.0,828.0,0.010222,47,214.0,828.0,0.171982,47,214.0,737.0,0.010497
instances\test_25.txt,CBS,astar,,,40,6.0,11.0,174.0,569.0,0.006327,0.006327,0.006327,test_25.txt,test_25.txt,40,174.0,569.0,0.006327,40,174.0,569.0,0.109165,40,176.0,543.0,0.006334
instances\test_25.txt,CBS,partial,3,,40,6.0,11.0,176.0,543.0,0.006334,0.006334,0.006334,test_25.txt,test_25.txt,40,174.0,569.0,0.006327,40,174.0,569.0,0.109165,40,176.0,543.0,0.006334
instances\test_25.txt,CBS,lookahead,,4,40,6.0,11.0,174.0,569.0,0.109165,0.109165,0.109165,test_25.txt,test_25.txt,40,174.0,569.0,0.006327,40,174.0,569.0,0.109165,40,176.0,543.0,0.006334
instances\test_26.txt,CBS,astar,,,42,5.0,9.0,124.0,469.0,0.008000,0.008000,0.008,test_26.txt,test_26.txt,42,124.0,469.0,0.008,42,124.0,469.0,0.102002,42,124.0,432.0,0.008403
instances\test_26.txt,CBS,partial,3,,42,5.0,9.0,124.0,432.0,0.008403,0.008403,0.008403,test_26.txt,test_26.txt,42,124.0,469.0,0.008,42,124.0,469.0,0.102002,42,124.0,432.0,0.008403
instances\test_26.txt,CBS,lookahead,,4,42,5.0,9.0,124.0,469.0,0.102002,0.102002,0.102002,test_26.txt,test_26.txt,42,124.0,469.0,0.008,42,124.0,469.0,0.102002,42,124.0,432.0,0.008403
instances\test_27.txt,CBS,astar,,,40,6.0,11.0,120.0,439.0,0.005530,0.005530,0.00553,test_27.txt,test_27.txt,40,120.0,439.0,0.00553,40,120.0,439.0,0.090595,40,120.0,402.0,0.007234
instances\test_27.txt,CBS,partial,3,,40,6.0,11.0,120.0,402.0,0.007234,0.007234,0.007234,test_27.txt,test_27.txt,40,120.0,439.0,0.00553,40,120.0,439.0,0.090595,40,120.0,402.0,0.007234
instances\test_27.txt,CBS,lookahead,,4,40,6.0,11.0,120.0,439.0,0.090595,0.090595,0.090595,test_27.txt,test_27.txt,40,120.0,439.0,0.00553,40,120.0,439.0,0.090595,40,120.0,402.0,0.007234
instances\test_28.txt,CBS,astar,,,41,8.0,15.0,230.0,727.0,0.008471,0.008471,0.008471,test_28.txt,test_28.txt,41,230.0,727.0,0.008471,41,230.0,727.0,0.148457,41,245.0,722.0,0.009004
instances\test_28.txt,CBS,partial,3,,41,9.0,17.0,245.0,722.0,0.009004,0.009004,0.009004,test_28.txt,test_28.txt,41,230.0,727.0,0.008471,41,230.0,727.0,0.148457,41,245.0,722.0,0.009004
